Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,PENB,Design,Heating,Renovation,Age,Total number of floors,New building,Front garden,Developer name,Project name,Kód jednotky,Administration fee
696029,"CZK 11,500",50.03087,14.48416,"Dědinova, Prague - Chodov",Studio,34 m²,"CZK 2,000",Partially furnished,4,No,No,Yes,No,No,Yes,No,01. 01. 2022,337,517,48,681,281,411,185,718,306,50,Excellent,"CZK 15,000",Cooperative,Prefab concrete building,D,,,,,,,,,,,
489262,"CZK 13,000",50.0214212,14.3597803,"Dominínská, Prague - Slivenec",2 bedroom,83 m²,"CZK 5,000",Furnished,2,No,No,No,No,No,No,No,01. 01. 2022,115,640,294,228,534,455,,,,,Excellent,"CZK 20,000",Personal,Brick building,C,Standard materials and solutions,Geothermal heat pump,Overall,1 to 10 years years,Top floor,,,,,,
692339,"CZK 17,000",50.1015246,14.4343981,"Janovského, Prague - Holešovice",2 bedroom,50 m²,"CZK 3,000",Partially furnished,2,No,No,Yes,No,No,No,No,15. 11. 2021,136,760,135,135,67,303,263,521,854,,Excellent,"CZK 30,000",Personal,Brick building,G,,,,,,,,,,,
693946,"CZK 9,990",50.12311416666,14.49222861111,"Vysočanská, Prague - Prosek",1 bedroom with open-plan kitchen,43 m²,,Unfurnished,1,No,No,Yes,No,No,Yes,No,,274,558,145,496,330,270,564,291,625,154,Good,"CZK 14,584",Personal,Prefab concrete building,D,,,,,,,,,,,"CZK 14,584

                                
                                
                
i"
523411,"CZK 9,500",50.1057203,14.5734501,Prague - Černý Most,1 bedroom with open-plan kitchen,44 m²,"CZK 5,500",Unfurnished,1,No,No,No,No,No,No,No,01. 07. 2018,124,"1,044",55,540,144,238,447,414,150,,,"CZK 30,000",Personal,Prefab concrete building,,,,,,,,,,,,
696022,"CZK 20,000",50.08412,14.34603,"Na Klášterním, Prague - Břevnov",3 bedroom,70 m²,"CZK 5,000",Partially furnished,,Yes,No,Yes,No,No,No,No,01. 01. 2022,224,759,123,525,247,543,325,161,418,249,Excellent,"CZK 40,000",Personal,Prefab concrete building,G,Standard materials and solutions,District heating,Overall,,Ground floor,,,,,,
667421,"CZK 19,000",50.07285,14.38707,"Mošnova, Prague - Smíchov",2 bedroom with open-plan kitchen,65 m²,"CZK 2,500",Unfurnished,2,No,No,No,No,No,No,No,03. 08. 2021,418,"1,156",434,"1,327",484,"1,378",622,537,"1,464",555,Excellent,"CZK 38,000",Personal,Brick building,G,,,,,,,8 m²,,,,
628826,"CZK 7,000",50.072332,14.397928,"Plzeňská, Prague - Smíchov",Small studio,20 m²,"CZK 3,000",Furnished,1,No,Yes,No,No,No,No,No,15. 12. 2021,323,570,180,261,153,373,302,"1,043",743,415,Excellent,,Personal,Brick building,G,Standard materials and solutions,Gas boiler,,,,,,,,,
479561,"CZK 10,000",50.1143715,14.4695677,"Kašparovo náměstí, Prague - Libeň",Studio,35 m²,"CZK 3,000",Furnished,1,Yes,No,No,No,No,Yes,No,,192,"1,082",50,"1,199",150,321,123,"1,359",819,257,Excellent,"CZK 13,000",Personal,Low-energy building,C,Standard materials and solutions,District heating,Interior,10 to 30 years years,Middle floor,,,,,,
696008,"CZK 10,500",50.02682,14.37242,"Lipová alej, Prague - Hlubočepy",Small studio,29 m²,"CZK 1,587",Furnished,1,Yes,No,No,No,No,No,No,01. 02. 2022,274,"1,132",699,"1,129",538,"1,121",485,383,269,525,Excellent,"CZK 10,500",Personal,Brick building,E,,,,,,,,,,,
416859,"CZK 6,500",50.0115444,14.3856734,"Starochuchelská, Prague - Velká Chuchle",Small studio,17 m²,CZK 600,Unfurnished,3,No,No,No,No,No,No,No,,41,100,54,328,528,,,,,,,"CZK 10,000",Personal,Brick building,,,,,,,,,,,,
639393,"CZK 12,000",50.067151,14.417589,"Vratislavova, Prague - Vyšehrad",1 bedroom with open-plan kitchen,32 m²,"CZK 2,000",Partially furnished,4,No,No,No,No,No,Yes,No,30. 01. 2022,272,"1,068",103,434,18,92,41,517,201,150,Excellent,"CZK 14,000",Personal,Brick building,G,,,,,,,,,,,
125833,"CZK 12,800",50.0729885,14.3939938,"Graficka, Prague - Smíchov",2 bedroom,62 m²,CZK 700,Partially furnished,1,No,No,No,No,No,No,No,01. 01. 1970,130,916,22,607,1,698,57,974,964,276,,"CZK 13,500",,Brick building,,,,,,,,,,,,
